　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　卡萨布兰卡　　　　　　　　	   8.6    	  139404  	世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
　　　　　　　　海盗电台　　　　　　　　	   8.6    	  179311  	生命不止，摇滚不死。
　　　　　　　　发条橙　　　　　　　　　	   8.5    	  205703  	我完全康复了。　　　
　　　　　　　黄金三镖客　　　　　　　　	   9.1    	  59210   	最棒的西部片。　　　
　　　　　　彗星来的那一夜　　　　　　　	   8.4    	  215724  	小成本大魅力。　　　
　　　　　　　　美国丽人　　　　　　　　	   8.5    	  206523  	每个人的内心都是深不可测的大海。 
　　　　　　　　　聚焦　　　　　　　　　	   8.8    	  146807  	新闻人的理性求真。　
　　　　　　　　　血钻　　　　　　　　　	   8.5    	  154157  	每个美丽事物背后都是滴血的现实。
　　　　　　　　荒野生存　　　　　　　　	   8.6    	  141928  	出门必备：本草纲目。
　　　　　　　国王的演讲　　　　　　　　	   8.3    	  379803  	皇上无话儿。　　　　
　　　　　　　非常嫌疑犯　　　　　　　　	   8.6    	  134146  	我不信仰上帝，但我敬畏上帝。
　　　　　　　　英国病人　　　　　　　　	   8.5    	  189919  	In memory, love lives forever...
　　　　　　　　迁徙的鸟　　　　　　　　	   9.1    	  55868   	最美的飞翔。　　　　
　　　　　　　　黑鹰坠落　　　　　　　　	   8.6    	  134913  	还原真实而残酷的战争。
　　　　　　　　我爱你　　　　　　　　　	   9.0    	  67406   	你要相信，这世上真的有爱存在，不管在什么年纪 
　　　　　　　　　勇士　　　　　　　　　	   8.9    	  95804   	热血沸腾，相当完美的娱乐拳击大餐。
　　　　　　　　遗愿清单　　　　　　　　	   8.5    	  150380  	用剩余不多的时间，去燃烧整个生命。
　　　　　　　　荒岛余生　　　　　　　　	   8.5    	  154480  	一个人的独角戏。　　
　　　　　　　　燕尾蝶　　　　　　　　　	   8.6    	  114968  	现实与童话交相辉映的旅程。
　　　　　　　　　枪火　　　　　　　　　	   8.7    	  112423  	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
　　　　　　2001太空漫游　　　　　　	   8.7    	  110120  	现代科幻电影的开山之作，最伟大导演的最伟大影片。
　　　　　　　叫我第一名　　　　　　　　	   8.6    	  119662  	乐观比一切都有力量。
　　　　　　　　穆赫兰道　　　　　　　　	   8.3    	  259296  	大卫·林奇的梦境迷宫。
　　　　　　　　千钧一发　　　　　　　　	   8.7    	  99579   	一部能引人思考的科幻励志片。
　　　　　　　上帝也疯狂　　　　　　　　	   8.7    	  105357  	纯净原始的笑与感动。
　　　　　　大卫·戈尔的一生　　　　　　	   8.6    	  109069  	捍卫人权只是信仰，一点不妨碍其行为的残忍。
　　　　　　　　蓝色大门　　　　　　　　	   8.3    	  293997  	青春的窃窃私语。 　
